_Cell,Seq,Chan,Fun,Hxf,Save2Mix,Notes,MxAdd,Shex,MxDatS,MxDat,sAdd,sCon,dAdd,dCon,Function,FunX,ShFunction,ShFunX,Table,ShTable,SigmaKey,Sigma,DspI2c,DspSpi,DspPage,DspAdd,DspAddHex,Checked,DefStr,Type,Neutral,RampProfile,RampMode,RampUpMs,RampDownMs,RampCurve,RampScope
Chan021Mtr002,1,21,2,,false,Channel input level meter (pre/post),50,kj,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4689,0x1251,,,,-,,Instant,0,0,Linear,Scalar
Chan022Mtr001,1,22,1,,false,Channel input level meter (pre/post),51,kk,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4692,0x1254,,,,-,,Instant,0,0,Linear,Scalar
Chan022Mtr002,1,22,2,,false,Channel input level meter (pre/post),52,kl,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4693,0x1255,,,,-,,Instant,0,0,Linear,Scalar
Chan023Mtr001,1,23,1,,false,Channel input level meter (pre/post),53,km,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4696,0x1258,,,,-,,Instant,0,0,Linear,Scalar
Chan023Mtr002,1,23,2,,false,Channel input level meter (pre/post),54,kn,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4697,0x1259,,,,-,,Instant,0,0,Linear,Scalar
Chan024Mtr001,1,24,1,,false,Channel input level meter (pre/post),55,ko,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4700,0x125C,,,,-,,Instant,0,0,Linear,Scalar
Chan024Mtr002,1,24,2,,false,Channel input level meter (pre/post),56,kp,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4701,0x125D,,,,-,,Instant,0,0,Linear,Scalar
Chan001CompMtr001,1,1,1,,false,Channel compressor gain-reduction meter (comp-only),57,kq,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4611,0x1203,,,,-,,Instant,0,0,Linear,Scalar
Chan002CompMtr001,1,2,1,,false,Channel compressor gain-reduction meter (comp-only),58,kr,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4615,0x1207,,,,-,,Instant,0,0,Linear,Scalar
Chan003CompMtr001,1,3,1,,false,Channel compressor gain-reduction meter (comp-only),59,ks,80,,,,,,,,Chan_Mtr,,,,,,,1,1,4619,0x120B,,,,-,,Instant,0,0,Linear,Scalar
