id,chip,type,label,ch_count,inputs,outputs,spi_page,spi_addr,params,ramp_profile
C1_BUS_AUX_11_SEND,1,INTERCHIP_SEND,Aux 11 Bus Send,1,C1_BUS_AUX_11,,-1,-1,sport_id=1;slot=1;global_slot=17;sport_slots=16;signal=BUS_AUX_11,
C1_BUS_AUX_12,1,MIX_BUS,Aux 12 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_AUX_12_SEND,1,4784,bus_id=18;source_count=32,
C1_BUS_AUX_12_SEND,1,INTERCHIP_SEND,Aux 12 Bus Send,1,C1_BUS_AUX_12,,-1,-1,sport_id=1;slot=2;global_slot=18;sport_slots=16;signal=BUS_AUX_12,
C1_BUS_FX_01,1,MIX_BUS,FX 1 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_FX_01_SEND,1,4786,bus_id=19;source_count=32,
C1_BUS_FX_01_SEND,1,INTERCHIP_SEND,FX 1 Bus Send,1,C1_BUS_FX_01,,-1,-1,sport_id=1;slot=3;global_slot=19;sport_slots=16;signal=BUS_FX_01,
C1_BUS_FX_02,1,MIX_BUS,FX 2 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_FX_02_SEND,1,4788,bus_id=20;source_count=32,
C1_BUS_FX_02_SEND,1,INTERCHIP_SEND,FX 2 Bus Send,1,C1_BUS_FX_02,,-1,-1,sport_id=1;slot=4;global_slot=20;sport_slots=16;signal=BUS_FX_02,
C1_BUS_FX_03,1,MIX_BUS,FX 3 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_FX_03_SEND,1,4790,bus_id=21;source_count=32,
C1_BUS_FX_03_SEND,1,INTERCHIP_SEND,FX 3 Bus Send,1,C1_BUS_FX_03,,-1,-1,sport_id=1;slot=5;global_slot=21;sport_slots=16;signal=BUS_FX_03,
C1_BUS_FX_04,1,MIX_BUS,FX 4 Bus,1,C1_RTG_01;C1_RTG_02;C1_RTG_03;C1_RTG_04;C1_RTG_05;C1_RTG_06;C1_RTG_07;C1_RTG_08;C1_RTG_09;C1_RTG_10;C1_RTG_11;C1_RTG_12;C1_RTG_13;C1_RTG_14;C1_RTG_15;C1_RTG_16;C1_RTG_17;C1_RTG_18;C1_RTG_19;C1_RTG_20;C1_RTG_21;C1_RTG_22;C1_RTG_23;C1_RTG_24;C1_RTG_25;C1_RTG_26;C1_RTG_27;C1_RTG_28;C1_RTG_29;C1_RTG_30;C1_RTG_31;C1_RTG_32,C1_BUS_FX_04_SEND,1,4792,bus_id=22;source_count=32,
C1_BUS_FX_04_SEND,1,INTERCHIP_SEND,FX 4 Bus Send,1,C1_BUS_FX_04,,-1,-1,sport_id=1;slot=6;global_slot=22;sport_slots=16;signal=BUS_FX_04,
