chip,addr,hex,verdict,role,predicted_mapped,live_mapped,err_delta,unit,cells
2,1056,0x0420,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1057,0x0421,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1058,0x0422,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001EqFreq003 Grp001EqGain003 Grp001EqQ003
2,1059,0x0423,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1060,0x0424,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1061,0x0425,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1062,0x0426,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1063,0x0427,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001EqFreq004 Grp001EqGain004 Grp001EqQ004 Grp001EqShelf002
2,1064,0x0428,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1065,0x0429,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1066,0x042A,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1067,0x042B,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1068,0x042C,CLEARED,CONSUMED,True,True,0,UNDECLARED,
2,1069,0x042D,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,Grp001EqOn001
2,1070,0x042E,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
2,1071,0x042F,UNMAPPED,UNMAPPED,False,False,4,UNDECLARED,
2,1072,0x0430,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001GateOn001
2,1073,0x0431,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001GateThr001
2,1074,0x0432,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001GateAtt001
2,1075,0x0433,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001GateHold001
2,1076,0x0434,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001GateRel001
2,1077,0x0435,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001GateRng001
2,1078,0x0436,ECHO,INERT,True,True,0,UNDECLARED,Grp001GateKey001
2,1079,0x0437,ECHO,INERT,True,True,0,UNDECLARED,Grp001GateDetSrc001
2,1080,0x0438,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001GateFilterOn001
2,1081,0x0439,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001GateFilterHpf001 Grp001GateFilterQ001
2,1082,0x043A,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1083,0x043B,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1084,0x043C,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1085,0x043D,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1086,0x043E,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001GateFilterLpf001
2,1087,0x043F,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1088,0x0440,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001CompOn001
2,1089,0x0441,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001CompThr001
2,1090,0x0442,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001CompRat001
2,1091,0x0443,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001CompAtt001
2,1092,0x0444,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001CompRel001
2,1093,0x0445,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001CompMake001
2,1094,0x0446,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001CompKnee001
2,1095,0x0447,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp001CompPar001
2,1096,0x0448,ECHO,INERT,True,True,0,UNDECLARED,Grp001CompType001
2,1097,0x0449,ECHO,INERT,True,True,0,UNDECLARED,Grp001CompKey001
2,1098,0x044A,ECHO,INERT,True,True,0,UNDECLARED,Grp001CompDetSrc001
2,1099,0x044B,ECHO,INERT,True,True,0,UNDECLARED,Grp001CompLimMode001
2,1100,0x044C,ECHO,INERT,True,True,0,UNDECLARED,Grp001CompEqPos001
2,1101,0x044D,ECHO,INERT,True,True,0,UNDECLARED,Grp001CompFilterOn001
2,1102,0x044E,ECHO,INERT,True,True,0,UNDECLARED,Grp001CompFilterHpf001 Grp001CompFilterLpf001 Grp001CompFilterQ001
2,1103,0x044F,ECHO,INERT,True,True,0,UNDECLARED,
2,1104,0x0450,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002RtgLevel001
2,1105,0x0451,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1106,0x0452,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002RtgMute001
2,1107,0x0453,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002RtgDca001
2,1108,0x0454,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002EqFreq001 Grp002EqGain001 Grp002EqHpf001 Grp002EqQ001 Grp002EqShelf001
2,1109,0x0455,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1110,0x0456,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1111,0x0457,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1112,0x0458,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1113,0x0459,ECHO,CONSUMED,True,True,0,UNDECLARED,Grp002EqFreq002 Grp002EqGain002 Grp002EqQ002
2,1114,0x045A,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1115,0x045B,ECHO,CONSUMED,True,True,0,UNDECLARED,
2,1116,0x045C,ECHO,CONSUMED,True,True,0,UNDECLARED,
