17:22:35 AN_EN: 26: op -- pd | hi // GPIO26 = output
17:22:36 base image VERIFIED; strips on AUX 1: [6]
17:22:37 J25 presence: code 0 coherent loop gain +5.577 dB (S55 law +5.578)
17:27:53 J25 tone   hw_up  (23, 0.0) -> (25, 0.0)  change @ 5048.6  pk pre -9.1 / post -8.0 dBFS  ovr 0  map [7.8, 8.3]  
17:27:57 J25 tone   hw_up  (25, 0.0) -> (29, 0.0)  change @ 5050.6  pk pre -8.9 / post -8.0 dBFS  ovr 0  map [7.6, 11.9]  
17:28:00 J25 tone   hw_up  (29, 0.0) -> (31, 0.0)  change @ 5051.7  pk pre -8.3 / post -8.0 dBFS  ovr 0  map [7.5, 8.4]  
17:28:04 J25 tone   hw_up  (31, 0.0) -> (37, 0.0)  change @ 5016.6  pk pre -10.7 / post -7.9 dBFS  ovr 0  map [7.7, 20.1]  
17:28:08 J25 tone   hw_up  (37, 0.0) -> (42, 0.0)  change @ 5021.5  pk pre -8.9 / post -7.9 dBFS  ovr 0  map [3.5, 16.7]  
17:28:11 J25 tone   hw_up  (42, 0.0) -> (47, 0.0)  change @ 5026.7  pk pre -8.6 / post -7.9 dBFS  ovr 0  map [-0.2, 13.2]  
17:28:15 J25 tone   hw_up  (47, 0.0) -> (53, 0.0)  change @ 5012.1  pk pre -9.3 / post -7.9 dBFS  ovr 0  map [6.3, 16.2]  
17:28:19 J25 tone   hw_up  (53, 0.0) -> (61, 0.0)  change @ 5026.3  pk pre -8.9 / post -7.9 dBFS  ovr 0  map [3.5, 12.8]  
17:28:22 J25 tone   hw_up  (61, 0.0) -> (63, 0.0)  change @ 5051.9  pk pre -8.0 / post -7.9 dBFS  ovr 0  map [7.6, 8.5]  
17:28:26 J25 tone   null   (63, 0.0) -> (63, 0.0)  change @ 4800  pk pre -7.9 / post -7.9 dBFS  ovr 0  map [3.7, 13.8]  
17:28:26 J25 tone   hw_dn  (63, 0.0) -> (61, 0.0)  change @ 5025.7  pk pre -7.9 / post -7.9 dBFS  ovr 0  map [-2.9, 9.3]  
17:28:30 J25 tone   hw_dn  (61, 0.0) -> (53, 0.0)  change @ 5024.9  pk pre -7.8 / post -7.9 dBFS  ovr 0  map [-2.8, 9.1]  
17:28:34 J25 tone   hw_dn  (53, 0.0) -> (47, 0.0)  change @ 5030.2  pk pre -7.9 / post -8.0 dBFS  ovr 0  map [6.0, 16.1]  
17:28:37 J25 tone   hw_dn  (47, 0.0) -> (42, 0.0)  change @ 5018.6  pk pre -7.9 / post -7.9 dBFS  ovr 0  map [-2.8, 9.2]  
17:28:41 J25 tone   hw_dn  (42, 0.0) -> (37, 0.0)  change @ 5037.5  pk pre -7.9 / post -7.9 dBFS  ovr 0  map [0.4, 15.7]  
17:28:45 J25 tone   hw_dn  (37, 0.0) -> (31, 0.0)  change @ 5014.5  pk pre -7.9 / post -8.0 dBFS  ovr 0  map [6.6, 12.5]  
17:28:48 J25 tone   hw_dn  (31, 0.0) -> (29, 0.0)  change @ 5025.1  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [-2.3, 9.4]  
17:28:52 J25 tone   hw_dn  (29, 0.0) -> (25, 0.0)  change @ 5028.3  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [1.1, 12.7]  
17:28:56 J25 tone   hw_dn  (25, 0.0) -> (23, 0.0)  change @ 5025.3  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [-2.2, 9.6]  
17:28:59 J25 tone   hw_dn  (23, 0.0) -> (20, 0.0)  change @ 5030.5  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [-0.1, 13.3]  
17:29:03 J25 tone   hw_dn  (20, 0.0) -> (17, 0.0)  change @ 5025.0  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [-1.5, 9.8]  
17:29:06 J25 tone   hw_dn  (17, 0.0) -> (15, 0.0)  change @ 5019.2  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [-1.4, 9.8]  
17:29:10 J25 tone   hw_dn  (15, 0.0) -> (13, 0.0)  change @ 5051.4  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [7.2, 9.9]  
17:29:14 J25 tone   hw_dn  (13, 0.0) -> (11, 0.0)  change @ 5012.3  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [-1.0, 10.3]  
17:29:17 J25 tone   hw_dn  (11, 0.0) -> (10, 0.0)  change @ 5031.6  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [1.7, 15.4]  
17:29:21 J25 tone   hw_dn  (10, 0.0) -> (9, 0.0)  change @ 5013.0  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [-0.6, 10.3]  
17:29:25 J25 tone   hw_dn  (9, 0.0) -> (7, 0.0)  change @ 5025.5  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [-0.6, 10.6]  
17:29:28 J25 tone   hw_dn  (7, 0.0) -> (6, 0.0)  change @ 5026.3  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [0.4, 11.5]  
17:29:32 J25 tone   hw_dn  (6, 0.0) -> (5, 0.0)  change @ 5008.0  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [3.3, 14.3]  
17:29:36 J25 tone   hw_dn  (5, 0.0) -> (4, 0.0)  change @ 5025.0  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [0.1, 10.6]  
17:29:39 J25 tone   hw_dn  (4, 0.0) -> (3, 0.0)  change @ 5013.7  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [0.1, 10.5]  
17:29:43 J25 tone   hw_dn  (3, 0.0) -> (2, 0.0)  change @ 5021.4  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [0.3, 10.8]  
17:29:47 J25 tone   hw_dn  (2, 0.0) -> (1, 0.0)  change @ 5029.7  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [3.1, 14.1]  
17:29:50 J25 tone   hw_dn  (1, 0.0) -> (0, 0.0)  change @ 5025.2  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [0.8, 11.3]  
17:29:54 J25 tone   bit    (31, 0.0) -> (32, 0.0)  change @ 5032.2  pk pre -9.9 / post -7.9 dBFS  ovr 0  map [1.7, 17.1]  
17:29:58 J25 tone   bit    (32, 0.0) -> (31, 0.0)  change @ 5009.5  pk pre -7.9 / post -8.0 dBFS  ovr 0  map [4.1, 14.3]  
17:30:01 J25 tone   bit    (15, 0.0) -> (16, 0.0)  change @ 5025.0  pk pre -11.0 / post -8.0 dBFS  ovr 0  map [1.1, 11.2]  
17:30:05 J25 tone   bit    (16, 0.0) -> (15, 0.0)  change @ 5025.9  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [0.9, 12.5]  
17:30:09 J25 tone   bit    (7, 0.0) -> (8, 0.0)  change @ 5023.0  pk pre -11.7 / post -8.0 dBFS  ovr 0  map [1.6, 11.5]  
17:30:12 J25 tone   bit    (8, 0.0) -> (7, 0.0)  change @ 5022.8  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [1.7, 11.5]  
17:30:16 J25 tone   bit    (3, 0.0) -> (4, 0.0)  change @ 5009.3  pk pre -12.8 / post -8.0 dBFS  ovr 0  map [5.1, 14.7]  
17:30:19 J25 tone   bit    (4, 0.0) -> (3, 0.0)  change @ 5022.8  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [2.0, 11.6]  
17:30:23 J25 tone   bit    (1, 0.0) -> (2, 0.0)  change @ 5012.0  pk pre -14.6 / post -8.0 dBFS  ovr 0  map [-1.0, 15.4]  
17:30:27 J25 tone   bit    (2, 0.0) -> (1, 0.0)  change @ 5024.9  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [2.3, 11.7]  
17:30:30 J25 tone   bit    (0, 0.0) -> (1, 0.0)  change @ 5010.4  pk pre -20.9 / post -8.0 dBFS  ovr 0  map [5.5, 15.0]  
17:30:34 J25 tone   bit    (1, 0.0) -> (0, 0.0)  change @ 5016.3  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [2.7, 11.9]  
17:30:38 J25 tone   trim   (0, 0.0) -> (0, 1.0)  change @ 4864.1  pk pre -9.0 / post -8.0 dBFS  ovr 0  map [7.5, 9.3]  
17:30:41 J25 tone   trim   (0, 1.0) -> (0, 0.0)  change @ 4847.8  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [3.0, 12.1]  
17:30:45 J25 tone   trim   (0, 0.0) -> (0, 3.0)  change @ 4848.1  pk pre -11.0 / post -8.0 dBFS  ovr 0  map [-0.6, 12.7]  
17:30:49 J25 tone   trim   (0, 3.0) -> (0, 0.0)  change @ 4863.3  pk pre -8.0 / post -8.1 dBFS  ovr 0  map [7.0, 20.2]  
17:30:52 J25 tone   trim   (0, 0.0) -> (0, 6.0)  change @ 4832.1  pk pre -14.0 / post -8.0 dBFS  ovr 0  map [7.6, 20.5]  
17:30:56 J25 tone   trim   (0, 6.0) -> (0, 0.0)  change @ 4864.3  pk pre -8.0 / post -8.2 dBFS  ovr 0  map [7.5, 8.7]  
17:31:00 J25 tone   trim   (0, 0.0) -> (0, 12.0)  change @ 4863.8  pk pre -20.0 / post -8.0 dBFS  ovr 0  map [7.7, 8.2]  
17:31:03 J25 tone   trim   (0, 12.0) -> (0, 0.0)  change @ 4863.8  pk pre -8.0 / post -8.3 dBFS  ovr 0  map [7.8, 8.2]  
17:31:07 J25 tone   combo  (6, 0.315) -> (7, 0.401)  change @ 5044.6  pk pre -9.0 / post -8.0 dBFS  ovr 0  map [3.5, 10.2]  
17:31:10 J25 tone   combo  (7, 0.401) -> (6, 0.315)  change @ 5048.9  pk pre -8.0 / post -8.0 dBFS  ovr 0  map [7.7, 8.3]  
17:31:10 J25: 144 captures in 8.6 min
