Type,Name,Notes,Grp,Mcu,Net,Ref,Cell,MxAdd,MxDat,MxDatS,SkinLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,MonoAux,1,1,C9,P33,LD10,Sys001Skin001,6661,0,1,V_1_32_Tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,StereoAux,2,2,A11,P35,SW2,Sys001Skin001,6661,0,1,V_5_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,StereoAux,2,2,A8,P34,LD4,Sys001Skin001,6661,0,1,V_5_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,StereoAux,2,2,A12,P36,LD5,Sys001Skin001,6661,0,1,V_5_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,Fx,3,3,F6,P38,SW3,Sys001Skin001,6661,0,1,BFX_1_24_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Fx,3,3,A13,P37,LD6,Sys001Skin001,6661,0,1,BFX_1_24_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Fx,3,3,F7,P39,LD7,Sys001Skin001,6661,0,1,BFX_1_24_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,Eq,4,4,A15,P41,SW4,Sys001Skin001,6661,0,1,V_13_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Eq,4,4,A14,P40,LD8,Sys001Skin001,6661,0,1,V_13_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Eq,4,4,C10,P42,LD9,Sys001Skin001,6661,0,1,V_13_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,AuxOnFaders,5,5,B0,P21,SW5,Sys001Skin001,6661,0,1,FM_1_32_Tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,AuxOnFaders,5,5,C5,P20,LD3,Sys001Skin001,6661,0,1,FM_1_32_Tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,AuxOnFaders,5,5,B1,P22,LD2,Sys001Skin001,6661,0,1,FM_1_32_Tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW,Overview,6,6,B10,P24,SW6,Sys001Skin001,6661,0,1,Z_4_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Overview,6,6,B2,P23,LD12,Sys001Skin001,6661,0,1,Z_4_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,Overview,6,6,B11,P25,LD13,Sys001Skin001,6661,0,1,Z_4_32_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
